Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 10%	1,59	BIOINDUSTRIA L.I.M. SpA	32387058	93H	X		
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 10%	1,59	GALENICA SENESE Srl	29863178	93H	X		
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone EV 250 ml 10%	1,59	BAXTER SpA	30923128	93H	X		
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone EV 250 ml 10%	1,59	DIACO BIOFARMACEUTICI Srl	33851080	93H	X		
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone EV 250 ml 10%	1,59	MONICO SpA	30793158	93H	X		
Glucosio	GLUCOSIO 10% 250ML USO PARENTERALE	GLUCOSIO*1 flacone 250 ml 10%	1,63	SALF SpA	30672202	93H	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	1,91	BAXTER SpA	30923130	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	1,91	BIOINDUSTRIA L.I.M. SpA	32387060	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	1,91	EUROSPITAL SpA	32183055	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	1,91	FRESENIUS KABI ITALIA Srl	30769095	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	1,91	GALENICA SENESE Srl	29863180	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone EV 500 ml 10%	1,91	DIACO BIOFARMACEUTICI Srl	33851092	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone EV 500 ml 10%	1,91	MONICO SpA	30793160	93I	X		
Glucosio	GLUCOSIO 10% 500ML USO PARENTERALE	GLUCOSIO*1 flacone 500 ml 10%	2,15	SALF SpA	30672214	93I	X		
Glucosio	GLUCOSIO 20% 10ML USO PARENTERALE	GLUCOSIO*1 fiala 10 ml 20%	0,28	GALENICA SENESE Srl	29863255	93J	X		
Glucosio	GLUCOSIO 20% 10ML USO PARENTERALE	GLUCOSIO*1 fiala EV 10 ml 20%	0,28	MONICO SpA	30793044	93J	X		
Glucosio	GLUCOSIO 33% 5ML USO PARENTERALE	GLUCOSIO*1 fiala 5 ml 33%	0,26	GALENICA SENESE Srl	29863469	93K	X		
Glucosio	GLUCOSIO 33% 10ML USO PARENTERALE	GLUCOSIO*1 fiala 10 ml 33%	0,28	GALENICA SENESE Srl	29863471	93L	X		
Glucosio	GLUCOSIO 33% 10ML USO PARENTERALE	GLUCOSIO*1 fiala EV 10 ml 33%	0,28	MONICO SpA	30793069	93L	X		
Gonadorelina	GONADORELINA 0,2MG/EROGAZIONE 100 EROG 2 UNITA' USO NASALE	KRYPTOCUR*2 flaconi spray nasale 10 g + 2 erogatori	149,42	CHEPLAPHARM ARZNEIMITTEL GMBH	26520015	MLA			
Goserelin	GOSERELIN 10,8MG 1 UNITA' USO PARENTERALE RP	ZOLADEX*1 siringa SC 10,8 mg rilascio prolungato	562,73	ASTRAZENECA SpA	26471021	MNA			
Goserelin	GOSERELIN 3,6MG 1 UNITA' USO PARENTERALE RP	ZOLADEX*1 siringa SC 3,6 mg rilascio prolungato	185,31	ASTRAZENECA SpA	26471019	MNB			
Granisetrone	GRANISETRONE 3,1MG 1 UNITA' USO TRANSDERMICO	SANCUSO*1 cerotto transdermico 3,1 mg/24 ore	90,93	KYOWA KIRIN HOLDINGS B.V.	42924011	BZX			
Granisetrone	GRANISETRONE 1MG 10 UNITA' USO ORALE	GRANISETRON*10 cpr riv 1 mg	44,01	MYLAN SpA	37950072	EFA	X		
Granisetrone	GRANISETRONE 1MG 10 UNITA' USO ORALE	PANDIOL*10 cpr riv 1 mg	44,01	S.F. GROUP Srl	46096018	EFA	X		
Granisetrone	GRANISETRONE 1MG 10 UNITA' USO ORALE	KYTRIL*10 cpr riv 1 mg	62,91	ATNAHS PHARMA NETHERLANDS BV	28093021	EFA	X		
Granisetrone	GRANISETRONE 2MG 5 UNITA' USO ORALE	GRANISETRON*5 cpr riv 2 mg	44,01	MYLAN SpA	37950223	EFB	X		
Granisetrone	GRANISETRONE 2MG 5 UNITA' USO ORALE	PANDIOL*5 cpr riv 2 mg	44,01	S.F. GROUP Srl	46096020	EFB	X		
Granisetrone	GRANISETRONE 2MG 5 UNITA' USO ORALE	KYTRIL*5 cpr riv 2 mg	58,43	ATNAHS PHARMA NETHERLANDS BV	28093084	EFB	X		
Granisetrone	GRANISETRONE 3MG 1 UNITA' USO PARENTERALE	KYTRIL*1 fiala EV 3 mg 3 ml	31,95	ATNAHS PHARMA NETHERLANDS BV	28093019	EFC	X		
Griseofulvina	GRISEOFULVINA 125MG 20 UNITA' USO ORALE	FULCIN 125*20 cpr 125 mg	1,96	SIT LABORATORIO FARMAC. Srl	16762015	94A	X		
Griseofulvina	GRISEOFULVINA 125MG 20 UNITA' USO ORALE	GRISOVINA FP*20 cpr 125 mg	1,96	TEOFARMA Srl	15642010	94A	X		
Griseofulvina	GRISEOFULVINA 500MG 10 UNITA' USO ORALE	FULCIN 500*10 cpr 500 mg	3,15	SIT LABORATORIO FARMAC. Srl	16762041	94C			
Ibuprofene	IBUPROFENE 400MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 400 mg	2,78	AUROBINDO PHARMA ITALIA Srl	45557016	95A	X		
Ibuprofene	IBUPROFENE 400MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 400 mg	2,78	DOC GENERICI Srl	43109026	95A	X		
Ibuprofene	IBUPROFENE 400MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 400 mg	4,64	FARMA 1000 Srl	41240033	95A	X		
Ibuprofene	IBUPROFENE 400MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 400 mg	4,64	MYLAN ITALIA Srl	22593204	95A	X		
Ibuprofene	IBUPROFENE 400MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 400 mg	4,64	PROGRAMMI SANIT.INTEGRATI Srl	39693039	95A	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	ALGOPIRINDOL*30 cpr riv 600 mg	3,72	SO.SE.PHARM Srl	43521018	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUMAL*30 cpr riv 600 mg	3,72	EPIFARMA Srl	43525017	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	AUROBINDO PHARMA ITALIA Srl	39904065	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	AUROBINDO PHARMA ITALIA Srl	45557028	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	DOC GENERICI Srl	43109038	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	EG SpA	43834011	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	FG Srl	43526019	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	IPSO PHARMA Srl	43528013	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	LABORATORI ALTER Srl	37029028	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	PHARMEG Srl	43523012	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 cpr riv 600 mg	3,72	TEVA ITALIA Srl	43529015	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*30 bust grat eff 600 mg	4,49	DOC GENERICI Srl	41312036	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*orale grat 30 bust 600 mg	4,49	ANGELINI SpA	40576011	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	IBUPROFENE*orale grat eff 30 bust 600 mg	4,49	EG SpA	43834023	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	SPIDIFEN*orale grat 30 bust 600 mg aroma albicocca	6,43	ZAMBON ITALIA Srl	26916130	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	SPIDIFEN*orale grat 30 bust 600 mg aroma cola limone	6,43	ZAMBON ITALIA Srl             	26916142	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	BB FARMA Srl	41238015	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	FARMA 1000 Srl	41240019	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	FARMAROC Srl	43101017	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	FARMAVOX Srl	42996013	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	FARMED Srl	44661015	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	GEKOFAR Srl	41746013	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	GMM FARMA Srl	42859013	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	GPP HEALTH Srl	44827018	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	MEDIFARM Srl	42830012	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	MYLAN ITALIA Srl	22593216	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	NEW PHARMASHOP Srl	43890019	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*30 cpr riv 600 mg	6,77	PROGRAMMI SANIT.INTEGRATI Srl	39693027	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*orale grat 30 bust 600 mg	7,50	MYLAN ITALIA Srl	22593103	95B	X		
Ibuprofene	IBUPROFENE 600MG 30 UNITA' USO ORALE	BRUFEN*orale grat efferv 30 bust 600 mg	7,50	GMM FARMA Srl	42859025	95B	X		
Ibuprofene	IBUPROFENE 800MG 20 UNITA' USO ORALE RP	BRUFEN*20 cpr riv 800 mg rilascio prolungato	6,02	MYLAN ITALIA Srl	22593115	95C			
Ibuprofene	IBUPROFENE 400MG 6 UNITA' USO PARENTERALE	ARFEN*6 fiale IM 3 ml 400 mg	4,34	LISAPHARMA SpA	24635106	95D			
Ibuprofene	IBUPROFENE 500MG 30 UNITA' USO ORALE	ARFEN*30 cpr 500 mg	4,49	LISAPHARMA SpA	24635029	95E			
Ibuprofene/codeina	IBUPROFENE+CODEINA 400MG+30MG 30 UNITA' USO ORALE	BRUFECOD*30 cpr riv 400 mg + 30 mg	6,79	MYLAN ITALIA Srl	42269011	KJU			
Idebenone	IDEBENONE 150MG 180 UNITA' USO ORALE	RAXONE*180 cpr riv 150 mg flacone	10.426,40	SANTHERA PHARMACEUTICALS GMBH	44505016	FRN			
Idroclorotiazide	IDROCLOROTIAZIDE 25MG 20 UNITA' USO ORALE	ESIDREX*20 cpr 25 mg	1,75	LAB.JUVISE' PHARMACEUTICALS	15094016	96A	X		
Idrocortisone	IDROCORTISONE 2MG 50 UNITA' USO ORALE	ALKINDI*granuli in capsule da aprire 2 mg 50 cps flacone	171,29	DIURNAL EUROPE BV	46129033	KZQ			
Idrocortisone	IDROCORTISONE 1MG 50 UNITA' USO ORALE	ALKINDI*granuli in capsule da aprire 1 mg 50 cps flacone	119,16	DIURNAL EUROPE BV	46129021	KZR			
Idrocortisone	IDROCORTISONE 0,5MG 50 UNITA' USO ORALE	ALKINDI*granuli in capsule da aprire 0,5 mg 50 cps flacone	59,58	DIURNAL EUROPE BV	46129019	KZS			
Idrocortisone	IDROCORTISONE 1G 1 UNITA' USO PARENTERALE	FLEBOCORTID RICHTER*1 flacone EV 1 g + 1 fiala solv 10 ml	7,96	SANOFI SpA	13986043	MQD			
Idromorfone	IDROMORFONE 16MG 14 UNITA' USO ORALE RP	JURNISTA*14 cpr 16 mg rilascio prolungato	53,17	JANSSEN CILAG SpA	37396153	MRA			
Idromorfone	IDROMORFONE 32MG 14 UNITA' USO ORALE RP	JURNISTA*14 cpr 32 mg rilascio prolungato	90,51	JANSSEN CILAG SpA	37396278	MRB			
Idromorfone	IDROMORFONE 4MG 14 UNITA' USO ORALE RP	JURNISTA*14 cpr 4 mg rilascio prolungato	15,64	JANSSEN CILAG SpA	37396518	MRC			
Idromorfone	IDROMORFONE 64MG 14 UNITA' USO ORALE RP	JURNISTA*14 cpr 64 mg rilascio prolungato	154,73	JANSSEN CILAG SpA	37396393	MRD			
Idromorfone	IDROMORFONE 8MG 14 UNITA' USO ORALE RP	JURNISTA*14 cpr 8 mg rilascio prolungato	31,28	JANSSEN CILAG SpA	37396037	MRE			
Idrossiclorochina	IDROSSICLOROCHINA 200MG 30 UNITA' USO ORALE	IDROSSICLOROCHINA*30 cpr riv 200 mg	4,62	DOC GENERICI Srl	46074011	MUA	X		
Idrossiclorochina	IDROSSICLOROCHINA 200MG 30 UNITA' USO ORALE	PLAQUENIL*30 cpr riv 200 mg	6,08	SANOFI SpA	13967056	MUA	X		
Idrossiprogesterone	IDROSSIPROGESTERONE 250MG 1 UNITA' USO PARENTERALE	PROLUTON*1 fiala IM 250 mg 1 ml	2,63	BAYER SpA	5375062	MSA			
Idrossiprogesterone	IDROSSIPROGESTERONE 341MG 1 UNITA' USO PARENTERALE	LENTOGEST*1 fiala IM 341 mg 2 ml	3,77	IBSA FARMACEUTICI ITALIA Srl	24542019	MSB			
Idroxicarbamide	IDROXICARBAMIDE 500MG 20 UNITA' USO ORALE	ONCO CARBIDE*20 cps 500 mg	8,91	TEOFARMA Srl	21510019	MTA			
Idroxocobalamina	IDROXOCOBALAMINA 1.000MCG 6 UNITA' USO ORALE O PARENTERALE	NEOCYTAMEN*6 fiale IM EV orale 1.000 mcg	11,88	TEOFARMA Srl	19969029	MVA			
Iloprost	ILOPROST 20MCG 2ML 30 UNITA' USO RESPIRATORIO	VENTAVIS*30 fiale soluz nebul 2 ml 10 mcg/ml	1.340,54	BAYER AG	36019014	BRV			
Iloprost	ILOPROST 20MCG 2ML 90 UNITA' USO RESPIRATORIO	VENTAVIS*3x30 fiale soluz nebul 2 ml 10 mcg/ml	4.021,64	BAYER AG	36019040	BRY			
Iloprost	ILOPROST 20MCG 1ML 30 UNITA' USO RESPIRATORIO	VENTAVIS*30 fiale soluz nebul 1 ml 20 mcg/ml	1.340,54	BAYER AG	36019091	JNS			
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cpr riv 100 mg	300,00	DR. REDDY'S Srl	43566025	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cpr riv 100 mg	300,00	MYLAN SpA	44445031	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cps 100 mg	300,00	DR. REDDY'S Srl	45053067	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120x1 cps 100 mg	400,00	TEVA B.V.	42644310	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMANIVEC*120 cpr riv 100 mg	944,34	HCS BVBA	43760038	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cpr riv 100 mg	944,34	SANDOZ SpA	43805047	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cpr riv 100 mg	944,34	SUN PHARMACEUTICAL IND.EU.B.V.	43126046	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120 cps 100 mg	944,34	MYLAN SpA	44713016	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	IMATINIB*120x1 cpr riv 100 mg	944,34	ACCORD HEALTHCARE SLU	42867186	BRZ	X		
Imatinib	IMATINIB 100MG 120 UNITA' USO ORALE	GLIVEC*120 cps 100 mg	3.147,80	NOVARTIS EUROPHARM LTD	35372059	BRZ	X		
Imatinib	IMATINIB 400MG 30 UNITA' USO ORALE	IMATINIB*30 cpr riv 400 mg	300,00	DR. REDDY'S Srl	43566037	JNJ	X		
Imatinib	IMATINIB 400MG 30 UNITA' USO ORALE	IMATINIB*30x1 cpr riv 400 mg	300,00	TEVA B.V.	42644183	JNJ	X		
Imatinib	IMATINIB 400MG 30 UNITA' USO ORALE	IMATINIB*30x1 cpr riv 400 mg	911,04	ACCORD HEALTHCARE SLU	42867200	JNJ	X		
Imiquimod	IMIQUIMOD 3,75% 250MG 28 UNITA' USO DERMATOLOGICO	ZYCLARA*crema derm 28 bust 250 mg 3,75%	96,10	MEDA A.B.	43585025	JTD			
Imiquimod	IMIQUIMOD 5% 250MG 12 UNITA' CREMA USO DERMATOLOGICO	IMUNOCARE*crema derm 12 bust 250 mg 5%	55,89	DIFA COOPER SpA	41393012	MWA	X		
Imiquimod	IMIQUIMOD 5% 250MG 12 UNITA' CREMA USO DERMATOLOGICO	ALDARA*crema derm 12 bustine 250 mg 5%	76,56	MEDA A.B.	34405011	MWA	X		
Immunoglobulina umana anti-D	IMMUNOGLOBULINA UMANA ANTI-D 300MCG (1500UI) 2ML 1 UNITA' USO PARENTERALE	IGAMAD*1 fiala IM 1.500 UI + 1 fiala solv 2 ml	57,95	INSTITUTO GRIFOLS S.A.	33867021	MZB			
Immunoglobulina umana anti-D	IMMUNOGLOBULINA UMANA ANTI-D 300MCG (1500UI) 2ML 1 UNITA' USO PARENTERALE	IMMUNORHO*1 siringa IM 300 mcg 2 ml	57,95	KEDRION SpA	22547044	MZB			
Immunoglobulina umana anti-D	IMMUNOGLOBULINA UMANA ANTI-D 625UI 1ML 1 UNITA' USO PARENTERALE	RHESONATIV*1 fiala IM 1 ml 625 UI/ml	24,15	OCTAPHARMA ITALY SpA	39596010	MZC			
Immunoglobulina umana anti-D	IMMUNOGLOBULINA UMANA ANTI-D 625UI 2ML 1 UNITA' USO PARENTERALE	RHESONATIV*1 fiala IM 2 ml 625 UI/ml	48,29	OCTAPHARMA ITALY SpA	39596022	MZD			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 1.000UI 3ML 1 UNITA' USO PARENTERALE	IMMUNOHBS*1 siringa IM 1.000 UI 3 ml	540,00	KEDRION SpA	25653054	MXA			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 1.000UI 5ML 1 UNITA' USO PARENTERALE	IGANTIBE*1 fiala IM 1.000 UI 5 ml	540,00	INSTITUTO GRIFOLS S.A.	35320023	MXB			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 180UI 1ML 1 UNITA' USO PARENTERALE	IMMUNOHBS*1 fiala IM 180 UI 1 ml	109,39	KEDRION SpA	25653015	MXC			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 180UI 1ML 1 UNITA' USO PARENTERALE	UMANBIG*1 fiala IM 180 UI 1 ml	109,39	KEDRION SpA	23782028	MXC			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 1ML 5 UNITA' USO PARENTERALE	ZUTECTRA*5 siringhe preriempite SC 1 ml 500 UI	1.840,20	BIOTEST PHARMA GMBH	39644012	MXD			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 540UI 3ML 1 UNITA' USO PARENTERALE	IMMUNOHBS*1 fiala IM 540 UI 3 ml	383,16	KEDRION SpA	25653027	MXE			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 540UI 3ML 1 UNITA' USO PARENTERALE	UMANBIG*1 fiala IM 540 UI 3 ml	383,16	KEDRION SpA	23782016	MXE			
Immunoglobulina umana antiepatite B	IMMUNOGLOBULINA UMANA ANTIEPATITE B 600UI 3ML 1 UNITA' USO PARENTERALE	IGANTIBE*1 fiala IM 3 ml 600 UI/3 ml	348,00	INSTITUTO GRIFOLS S.A.	35320011	MXF			
Immunoglobulina umana antitetanica	IMMUNOGLOBULINA UMANA ANTITETANICA 250UI 1ML 1 UNITA' USO PARENTERALE	IGANTET*1 siringa IM 250 UI 1 ml	23,76	INSTITUTO GRIFOLS S.A.	33863010	MYA			
Immunoglobulina umana antitetanica	IMMUNOGLOBULINA UMANA ANTITETANICA 250UI 1ML 1 UNITA' USO PARENTERALE	TETANUSGAMMA*1 siringa IM 250 UI 1 ml	23,76	KEDRION SpA	22488062	MYA			
Immunoglobulina umana antitetanica	IMMUNOGLOBULINA UMANA ANTITETANICA 500UI 2ML 1 UNITA' USO PARENTERALE	IGANTET*1 siringa IM 500 UI 2 ml	36,77	INSTITUTO GRIFOLS S.A.	33863022	MYC			
Immunoglobulina umana antitetanica	IMMUNOGLOBULINA UMANA ANTITETANICA 500UI 2ML 1 UNITA' USO PARENTERALE	TETANUSGAMMA*1 siringa IM 500 UI 2 ml	36,77	KEDRION SpA	22488050	MYC			
Indacaterolo	INDACATEROLO 150MCG 30 UNITA' USO RESPIRATORIO	HIROBRIZ BREEZHALER*polv inal 30 cps 150 mcg	35,75	NOVARTIS EUROPHARM LTD	39699020	N0A			
Indacaterolo	INDACATEROLO 150MCG 30 UNITA' USO RESPIRATORIO	ONBREZ BREEZHALER*polv inal 30 cps 150 mcg	35,75	NOVARTIS EUROPHARM LTD	39664026	N0A			
Indacaterolo	INDACATEROLO 300MCG 30 UNITA' USO RESPIRATORIO	HIROBRIZ BREEZHALER*polv inal 30 cps 300 mcg	35,75	NOVARTIS EUROPHARM LTD	39699071	N0B			
Indacaterolo	INDACATEROLO 300MCG 30 UNITA' USO RESPIRATORIO	ONBREZ BREEZHALER*polv inal 30 cps 300 mcg	35,75	NOVARTIS EUROPHARM LTD	39664077	N0B			
Indacaterolo/Glicopirronio	INDACATEROLO+GLICOPIRRONIO 85+43MCG 30 UNITA' USO RESPIRATORIO	ULTIBRO BREEZHALER*polv inal 30x1 cps 85 mcg + 43 mcg	63,50	NOVARTIS EUROPHARM LTD	43031032	GYF			
Indacaterolo/Glicopirronio	INDACATEROLO+GLICOPIRRONIO 85+43MCG 30 UNITA' USO RESPIRATORIO	XOTERNA BREEZHALER*polv inal 30x1 cps 85 mcg + 43 mcg	63,50	NOVARTIS EUROPHARM LTD	43033036	GYF			
Indapamide	INDAPAMIDE 2,5MG 50 UNITA' USO ORALE	INDAPAMIDE*50 cpr riv 2,5 mg	6,32	MYLAN SpA	33616020	06A	X		
Indapamide	INDAPAMIDE 2,5MG 50 UNITA' USO ORALE	INDAPAMIDE*50 cpr riv 2,5 mg	6,32	PENSA PHARMA SpA	25154030	06A	X		
Indapamide	INDAPAMIDE 2,5MG 50 UNITA' USO ORALE	PRESSURAL*50 cpr riv 2,5 mg	6,32	POLIFARMA SpA	24666024	06A	X		
Indapamide	INDAPAMIDE 2,5MG 50 UNITA' USO ORALE	IPAMIX*50 cpr riv 2,5 mg	6,80	VISUFARMA SpA	24150029	06A	X		
Indapamide	INDAPAMIDE 2,5MG 50 UNITA' USO ORALE	MILLIBAR*50 cps 2,5 mg	6,80	LANOVA FARMACEUTICI Srl	25686015	06A	X		
Indapamide	INDAPAMIDE 2,5MG 30 UNITA' USO ORALE	VEROXIL*30 cpr 2,5 mg	3,69	LABORATORI BALDACCI SpA	25586025	06B	X		
Indapamide	INDAPAMIDE 2,5MG 30 UNITA' USO ORALE	INDAPAMIDE*30 cpr riv 2,5 mg	4,06	SANDOZ SpA	33832015	06B	X		
Indapamide	INDAPAMIDE 1,5MG 30 UNITA' USO ORALE	INDAPAMIDE*30 cpr 1,5 mg rilascio prolungato	5,39	AUROBINDO PHARMA ITALIA Srl	38708057	06C	X		
Indapamide	INDAPAMIDE 1,5MG 30 UNITA' USO ORALE	INDAPAMIDE*30 cpr riv 1,5 mg rilascio prolungato	5,39	DOC GENERICI Srl	39505021	06C	X		
Indapamide	INDAPAMIDE 1,5MG 30 UNITA' USO ORALE	INDAPAMIDE*30 cpr riv 1,5 mg rilascio prolungato	5,39	MYLAN SpA	39463017	06C	X		
Indapamide	INDAPAMIDE 1,5MG 30 UNITA' USO ORALE	NATRILIX*30 cpr riv 1,5 mg rilascio prolungato	8,46	LES LABORATOIRES SERVIER	24032031	06C	X		
Indometacina	INDOMETACINA 25MG 25 UNITA' USO ORALE	INDOXEN*25 cps 25 mg	1,45	ALFASIGMA SpA	20676019	N1A			
Indometacina	INDOMETACINA 50MG 25 UNITA' USO ORALE	INDOXEN*25 cps 50 mg	2,69	ALFASIGMA SpA	20676021	N1B			
Indometacina	INDOMETACINA 50MG 6 UNITA' USO PARENTERALE	LIOMETACEN*6 fiale EV 50 mg + 6 fiale solv 2 ml	4,88	PROMEDICA Srl	22559037	N1C			
Insulina aspart	INSULINA ASPART FASTER 300UI 3ML 5 UNITA' USO PARENTERALE	FIASP*flextouch 5 penne 100 u/ml 3 ml	52,36	NOVO NORDISK A/S	45249051	KLM			
Insulina aspart	INSULINA ASPART FASTER 300UI 3ML 5 UNITA' USO PARENTERALE	FIASP*penfill 5 cartucce 100 u/ml 3 ml	52,36	NOVO NORDISK A/S	45249101	KLM			
Insulina aspart	INSULINA ASPART 300UI 3ML 5 UNITA' USO PARENTERALE	NOVORAPID FLEXPEN*5 cartucce SC in penne preriemp 3 ml 100 U/ml	52,36	NOVO NORDISK A/S	34498093	N2A			
Insulina aspart	INSULINA ASPART 300UI 3ML 5 UNITA' USO PARENTERALE	NOVORAPID PENFILL*5 cartucce SC 300 UI 3 ml	52,36	NOVO NORDISK A/S	34498030	N2A			
Insulina aspart	INSULINA ASPART SOLUBILE+INSULINA ASPART PROTAMINO CRISTALLIZZATA 30/70 300UI 3ML 5 UNITA' USO PARENTERALE	NOVOMIX 30*FLEXPEN 5 cartucce SC in penne preriemp 3 ml 100 U/ml	49,74	NOVO NORDISK A/S	35563079	N2B			
